鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
中山區,房地(土地+建物)+車位,松江路421~450號,18.29,都市：其他:第三之二種住宅區。,,,1090911,土地4建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951221,172.44,2,2,2,有,有,39800000,230805,坡道平面,39.47,0,,RPPOMLSLRHPFFCA98DA,84.66,1.1,8.79,有
內湖區,房地(土地+建物)+車位,成功路二段361~390號,23.37,都市：其他:第三種住宅區。,,,1090820,土地2建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860113,195.18,4,2,2,有,有,31600000,161894,坡道平面,0.0,0,其他增建;,RPSNMLLJIIPFFCA47DA,127.86,5.0,9.97,有
中山區,房地(土地+建物),北安路811~840號,5.71,都市：其他:第三種住宅區。,,,1090824,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991224,44.989999999999995,1,1,1,有,有,10300000,228940,,0.0,0,其他增建;,RPRNMLMJIIPFFCA47DA,23.52,0.9,3.62,有
中山區,房地(土地+建物)+車位,農安街1~30號,13.8,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090707,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920618,128.61,1,2,1,有,有,26350000,204883,塔式車位,0.0,0,陽台外推;其他增建;,RPSNMLNJIIPFFCA67DA,74.44,0.31,4.67,有
內湖區,房地(土地+建物),內湖路一段661~690號,18.04,都市：其他:交通用地(公共設施用地)。83/6/3,,,1090714,土地1建物1車位0,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0991123,132.04999999999998,2,2,2,有,有,36060000,273078,,0.0,0,其他增建;,RPSSMLQJIIPFFCA48DA,78.29,5.23,4.8,有
中山區,房地(土地+建物)+車位,南京東路二段91~120號,3.34,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090913,土地3建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,67.91999999999999,1,1,1,有,有,14980000,220554,升降機械,19.26,0,,RPPNMLRJIIPFFCA77DA,27.68,1.36,3.44,有
中山區,房地(土地+建物)+車位,南京東路二段181~210號,13.87,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1090829,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990528,152.3,3,2,2,有,有,40000000,262640,坡道機械,16.26,0,其他增建;,RPTNMLRJIIPFFCA18DA,84.62,4.02,2.67,有
中山區,房地(土地+建物)+車位,植福路286巷31~60號,47.95,都市：其他:娛樂區(供觀光旅館使用)。,,,1090827,土地1建物1車位2,九層,四十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031229,433.90999999999997,0,0,0,無,有,176000000,473597,坡道平面,75.8,6400000,,RPUOMLOKIIPFFCA18DA,221.8,2.04,26.4,有
松山區,房地(土地+建物)+車位,健康路151~180號,17.19,都市：其他:第三之一種住宅區。,,,1090817,土地6建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670720,170.99,3,2,2,有,有,33500000,195918,坡道平面,0.0,0,,RPWQMLSJRHPFFDA17DA,136.04,0.0,15.89,有
信義區,房地(土地+建物)+車位,信義路五段150巷1~30號,19.61,都市：其他:第三種住宅區。,,,1090715,土地1建物1車位1,二十四層，電梯樓梯間,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,189.17000000000002,1,2,2,有,有,41000000,216736,坡道平面,0.0,0,其他增建;,RPRPMLOLRHPFFDA98DA,158.46,1.69,12.94,有
信義區,房地(土地+建物)+車位,信義路五段150巷1~30號,19.61,都市：其他:第三種住宅區。,,,1090715,土地1建物1車位1,二十四層，電梯樓梯間,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0861024,186.16,1,1,1,有,有,41000000,220229,坡道平面,0.0,0,陽台外推;其他增建;,RPTPMLOLRHPFFDA56DA,156.05,1.69,12.94,有
北投區,房地(土地+建物),大度路三段270巷61~90號,17.21,都市：其他:交通用地(公共設施用地)。78/1/26,,,1090630,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010217,100.24,2,2,1,有,有,17000000,169593,,0.0,0,其他增建;,RPQPMLQJIIPFFEA18DA,59.61,2.18,4.17,有
北投區,房地(土地+建物)+車位,東華街二段271~300號,79.73,都市：其他:第二種住宅區。,,,1090731,土地1建物1車位1,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831027,304.05,3,2,3,有,有,50580000,166354,坡道平面,0.0,0,陽台外推;夾層;其他增建;,RPUPMLQJIIPFFEA58DA,213.14,6.11,25.02,有
